Paper ID,Title,Primary candidate type,Secondary candidate types,Engineering subtype,Status,Patient cohorts,Statistical association,Prediction models,External validation,Bacterial perturbation,Host pathway intervention,Rescue / add-back,Cell / animal models,Method development,Microbial engineering,Materials / delivery
ITB-000596,"A randomized, phase 1, placebo-controlled trial of APG-157 in oral cancer demonstrates systemic absorption and an inhibitory effect on cytokines and tumor-associated microbes.",Clinical statistics,,,Automatic candidate; requires manual review,"METHODS: A double-blind, randomized, placebo-controlled, phase 1 clinical trial was conducted with APG-157 in 13 normal subjects and 12 patients with oral cancer. | RESULTS: Treatment with APG-157 resulted in circulating concentrations of curcumin and analogs peaking at 3 hours with reduced IL-1β, IL-6, and IL-8 concentrations in the salivary supernatant fluid of patients with cancer.",RNA and immunofluorescence analyses of tumor tissues of a subject demonstrated increased expression of genes associated with differentiation and T-cell recruitment to the tumor microenvironment.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"BACKGROUND: Although curcumin's effect on head and neck cancer has been studied in vitro and in vivo, to the authors' knowledge its efficacy is limited by poor systemic absorption from oral administration.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000598,Prognostic value of intratumoral Fusobacterium nucleatum and association with immune-related gene expression in oral squamous cell carcinoma patients.,Clinical statistics,,,Automatic candidate; requires manual review,"We aimed to assess the association between intratumoral F. nucleatum and clinico-pathological features, relapse, and overall survival (OS) in two independent cohorts of patients with OSCC, and to explore the interplay with immune-related genes. | We retrospectively analyzed tissue samples from a first cohort of 122 patients with head and neck squamous cell carcinoma, including 61 OSCC (cohort #1), and a second cohort of 90 additional OSCC (cohort #2). | We then performed a sensitivity analysis on the merged cohort of OSCC patients (N = 151). | F. nucleatum-associated OSCC has a specific immune microenvironment, is more frequent in older, non-drinking patients, and associated with a favorable prognosis.","Changes in the oral microbiome, particularly Fusobacterium nucleatum, are associated with oral squamous cell carcinoma (OSCC). | We aimed to assess the association between intratumoral F. nucleatum and clinico-pathological features, relapse, and overall survival (OS) in two independent cohorts of patients with OSCC, and to explore the interplay with immune-related genes. | F. nucleatum positivity was associated with older age, less alcohol and combined alcohol plus tobacco consumption, and less frequent lymph node invasion. | F. nucleatum status was independently associated with OS in multivariate analysis. | Immune-related gene and immunohistochemistry analyses showed that gram-negative bacteria load inversely correlated with M2 macrophages. | F. nucleatum-associated OSCC has a specific immune microenvironment, is more frequent in older, non-drinking patients, and associated with a favorable prognosis.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000599,The oral cancer microbiome contains tumor space-specific and clinicopathology-specific bacteria.,Clinical statistics,,,Automatic candidate; requires manual review,"This study recruited 218 patients for clinicopathological data analysis. | Multiple types of specimens were collected from 27 patients for 16S rRNA gene sequencing, including 26 saliva, 16 swabs from the surface of tumor tissues, 16 adjacent normal tissues, 22 tumor outer tissue, 22 tumor inner tissues, and 10 lymph nodes. | Clinicopathological data showed that the pathogenic bacteria could be frequently detected in the oral cavity of oral cancer patients, which was positively related to diabetes, later T stage of the tumor, and the presence of cervical lymphatic metastasis. | Gemella and Bacillales were enriched in T1/T2-stage patients and the non-lymphatic metastasis group, while Spirochaetae and Flavobacteriia were enriched in the extranodal extension negative group.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000600,The significant clinical correlation of the intratumor oral microbiome in oral squamous cell carcinoma based on tissue-derived sequencing.,Clinical statistics,,,Automatic candidate; requires manual review,"Subsequently, we evaluated the microbial compositions between OSCC patients and healthy people and their correlation with clinical parameters. | Conclusion: This study revealed that the intratumor oral microbiota of OSCC patients worldwide and the microbial signatures of OSCC patients possess similar properties in different regions, further refining the shortcomings of the current research field.","There is increasing evidence that oral microbiota is associated with the development of oral cancer, especially oral squamous cell carcinoma (OSCC). | Subsequently, we evaluated the microbial compositions between OSCC patients and healthy people and their correlation with clinical parameters. | All six-level oral microorganisms were also associated with the clinical characteristics of OSCC, particularly with the clinical outcomes (survival time and status).",We developed a predictive model based on this.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000601,Localization of Fusobacterium nucleatum in oral squamous cell carcinoma and its possible directly interacting protein molecules: A case series.,Clinical statistics,,,Automatic candidate; requires manual review,"High expression of Fusobacterium was significantly correlated with the lifestyle-related oral risk habits, including smoking (p=0.036) and alcohol consumption (p=0.022), but did not correlate with patient sex, age, tumor laterality, tumor size, grade or TNM stage.","INTRODUCTION: While 15 to 20% of cancers are associated with microbial infection, the relationship between oral microorganisms and oral squamous cell carcinoma (OSCC) remains unclear. | Correlations between Fusobacterium abundance and clinicopathological characteristics were analysed using the χ2 test. | High expression of Fusobacterium was significantly correlated with the lifestyle-related oral risk habits, including smoking (p=0.036) and alcohol consumption (p=0.022), but did not correlate with patient sex, age, tumor laterality, tumor size, grade or TNM stage.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000602,Intratumoral Microbiota Changes with Tumor Stage and Influences the Immune Signature of Oral Squamous Cell Carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,"Given the established correlation between intratumoral lymphocyte infiltration and patient survival in cases of solid tumors, it was pertinent to explore the extrinsic factor influencing immune cell infiltration in the tumor.","Characterization of the oral microbiota profile through various studies has shown an association between the microbiome and oral cancer; however, stage-specific determinants of dynamic changes in microbial communities of oral cancer remain elusive. | Late cancer stages were significantly associated with Capnocytophaga with high predicting accuracy, while Fusobacterium was associated with early stages of cancer. | Naive and effector subsets of tumor-infiltrating lymphocytes (TILs) and related gene expression were found to be distinctly associated with bacterial communities; most importantly, highly abundant bacterial genera of the tumor microenvironment were either negatively correlated or not associated with the effector lymphocytes, which led to the conclusion that the tumor microenvironment favors an immunosuppressive and nonimmunogenic microbiota. | Given the established correlation between intratumoral lymphocyte infiltration and patient survival in cases of solid tumors, it was pertinent to explore the extrinsic factor influencing immune cell infiltration in the tumor.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000604,Intratumoral microbiome of adenoid cystic carcinomas and comparison with other head and neck cancers.,Clinical statistics,,,Automatic candidate; requires manual review,"This allowed us to characterize the bacterial communities within the ACC and explore potential associations between the bacterial community structure, patient clinical characteristics, and tumor molecular features obtained through RNA sequencing. | Oral-like microbiomes, characterized by increased diversity and abundance of Neisseria, Leptotrichia, Actinomyces, Streptococcus, Rothia, and Veillonella (commonly found in healthy oral cavities), were associated with a less aggressive ACC-II molecular subtype and improved patient outcomes.","This allowed us to characterize the bacterial communities within the ACC and explore potential associations between the bacterial community structure, patient clinical characteristics, and tumor molecular features obtained through RNA sequencing. | Oral-like microbiomes, characterized by increased diversity and abundance of Neisseria, Leptotrichia, Actinomyces, Streptococcus, Rothia, and Veillonella (commonly found in healthy oral cavities), were associated with a less aggressive ACC-II molecular subtype and improved patient outcomes. | In both cancers, they were part of shared oral communities associated with a more diverse microbiome, less aggressive tumor phenotype, and better survival that reveal the genera as potential pancancer biomarkers for favorable microbiomes in ACC and other head and neck cancers. | Conversely, gut-like intratumoral microbiomes, which feature low diversity and colonization by gut mucus layer-degrading species, such as Bacteroides, Akkermansia, Blautia, Bifidobacterium, and Enterococcus, were associated with poorer outcomes. | Elevated levels of Bacteroides thetaiotaomicron were independently associated with significantly worse survival and positively correlated with tumor cell biosynthesis of glycan-based cell membrane components.",Not found in abstract / unknown,Not found in abstract / unknown,"Conversely, gut-like intratumoral microbiomes, which feature low diversity and colonization by gut mucus layer-degrading species, such as Bacteroides, Akkermansia, Blautia, Bifidobacterium, and Enterococcus, were associated with poorer outcomes.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000605,Targeted Elimination of the Oral Pathogen to Overcome Chemoresistance of Oral Squamous Cell Carcinoma by Biologically Derived Nanotherapeutics.,Microbial therapeutics,Mechanistic studies,Materials / delivery design,Automatic candidate; requires manual review,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Taking advantage of active targeting and inhibition abilities of GDNVs against P. gingivalis, the PTX-loaded GDNVs nanosystem (P-GDNVs) can enrich in the P. gingivalis-colonized tumor tissues and effectively inhibit the growth of P. gingivalis for downregulating the IL-6/pSTAT3/P-gp pathway, thereby reducing the efflux of intracellular drugs to overcome chemoresistance.",Not found in abstract / unknown,Not found in abstract / unknown,"By evaluating both P. gingivalis-infected tumor cells and P. gingivalis-infiltrated tumor-bearing mice, P-GDNVs show a much enhanced tumor cell killing effect, as compared with free PTX.",Not found in abstract / unknown,Not found in abstract / unknown,"Taking advantage of active targeting and inhibition abilities of GDNVs against P. gingivalis, the PTX-loaded GDNVs nanosystem (P-GDNVs) can enrich in the P. gingivalis-colonized tumor tissues and effectively inhibit the growth of P. gingivalis for downregulating the IL-6/pSTAT3/P-gp pathway, thereby reducing the efflux of intracellular drugs to overcome chemoresistance. | This naturally occurring nanotherapeutic system represents an effective bioactive material for targeted elimination of host microbiota to boost therapeutic response, showing great promise to combat commensal microbiota-rich tumors."
ITB-000606,Tumor-colonized Streptococcus mutans metabolically reprograms tumor microenvironment and promotes oral squamous cell carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,"RESULTS: Saliva derived from OSCC patients but not healthy controls (HCs) significantly promotes OSCC development and progression in rat models, and metabolomic analyses reveal saliva of OSCC patients but not HCs and OSCC tissues but not adjacent non-tumor tissues contain higher levels of kynurenic acid (KYNA). | Moreover, KYNA-mediated immunosuppressive program and aryl hydrocarbon receptor (AHR) expression correlate with impaired anti-tumor immunity and poorer survival of OSCC patients.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"CONCLUSIONS: Thus, aberration of oral microbiota and intratumoral colonization of specific oral bacterium such as S. mutans may increase the production of onco-metabolites, exacerbate the oral mucosal carcinogenesis, reprogram a highly immunosuppressive TME, and promote OSCC, highlighting the potential of interfering with oral microbiota and microbial metabolism for OSCC preventions and therapeutics.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000607,Intratumoral microbial abundance and load influence the immune microenvironment of oral squamous cell carcinoma.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"Tumor microbial load was negatively correlated with CD4+, CD8+, and FOXP3, but of these, only the correlation coefficient of -0.309 for CD4+ was statistically significant. | However, no significant correlation was observed in the analysis of PD-L1 expression with the relative abundance of intratumoral microbiome, α-diversity, and intratumoral microbial load values.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000608,Microbial community composition in subgingival plaques and heterogeneity of tumor tissue TCRβ CDR3 repertoire in patients with moderate-to-severe periodontitis and oral squamous cell carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,"METHODS: We grouped patients as ""healthy periodontal"" (H), ""moderate-to-severe chronic periodontitis"" (C), and ""moderate-to-severe chronic periodontitis with OSCC"" (T). | We also recorded patients' age, gender, attachment level (AL), bleeding on probing (BOP), and probing depth (PD). | TCRβ CDR3 diversity was the lowest in patients in the T group, and there were considerable changes in the expression of TRBV2 and TRBJ.","AL, BOP, and PD were positively correlated with Granulicatella, Peptostreptococcus, and Pseudomonas but negatively correlated with Prevotella nigrescens and V. parvula. | CONCLUSIONS: These trends and the reduction of gingival Synergistetes were correlated with OSCC.",Not found in abstract / unknown,Not found in abstract / unknown,BACKGROUND: The human oral cavity contains over 700 types of bacteria that may protect the body against colonization by exogenous pathogens and maintain relative homeostasis.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000609,Oral and intratumoral microbiota influence tumor immunity and patient survival.,Clinical statistics,,,Automatic candidate; requires manual review,"BACKGROUND: The aim of this study was to analyze the changes in the oral microbiota of patients with oral squamous cell carcinoma (OSCC) compared to healthy controls and the effect of intratumoral microorganisms on the host immune microenvironment. | METHODS: Saliva samples were collected from 36 OSCC patients and 34 healthy controls. 16S rDNA sequencing and bioinformatics analysis were conducted on the saliva samples. | Differential expression, pathway enrichment, and tumor microenvironment analyses were performed on transcriptome data from head and neck squamous cell carcinoma (HNSCC) in The Cancer Genome Atlas (TCGA) database and OSCC patients in the GEO database. | RESULTS: Oral microbiota exhibited comparable α diversity but distinct β diversity between OSCC patients and healthy controls. | Changes in the abundance of tumor immune-related signaling pathways were significantly associated with patient survival. | CONCLUSION: Specific oral microbiota in OSCC patients may serve as biomarkers for distinguishing OSCC.",Changes in the abundance of tumor immune-related signaling pathways were significantly associated with patient survival.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000610,Zinc-mediated metalloimmunotherapy with dual elimination of tumor and intratumoral bacteria in oral squamous cell carcinoma.,Microbial therapeutics,,Materials / delivery design,Automatic candidate; requires manual review,Not found in abstract / unknown,"Specifically, zinc dyshomeostasis has been observed in oral squamous cell carcinoma (OSCC), and strongly associated with Porphyromonas gingivalis (P. gingivalis) infection.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Herein, PYT@ZIF8@siRNA nanoparticles (NPs) were constructed from zeolite imidazolate framework-8 (ZIF8) NPs loaded with pyrithione (PYT, a zinc ionophore) and small interfering RNA (siRNA) for SLC30A1 (zinc transporter 1). | Zinc overload caused by PYT@ZIF8@siRNA NPs effectively eradicated OSCC cells by causing mitochondrial dysfunction and pro-death mitophagy, and simultaneously eliminated P. gingivalis by destroying the membrane structure and elevating the reactive oxygen species. | Concurrently, PYT@ZIF8@siRNA NPs evoked robust antitumor immunity by eliciting immunogenic cell death and attenuating immunosuppression mediated by P. gingivalis. | Moreover, PYT@ZIF8@siRNA significantly interrupted epithelial malignant transformation in experimental oral carcinogenesis model, and synergized with programmed death-1 blockade to establish a collaborative tumoricidal network by reprogramming the immunosuppressive tumor microenvironment in P. gingivalis-infected tumor model.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Herein, PYT@ZIF8@siRNA nanoparticles (NPs) were constructed from zeolite imidazolate framework-8 (ZIF8) NPs loaded with pyrithione (PYT, a zinc ionophore) and small interfering RNA (siRNA) for SLC30A1 (zinc transporter 1)."
ITB-000611,Intratumoral microbiota drive immune evasion and disease progression in oral squamous cell carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,"MATERIALS AND METHODS: Using TCGA datasets, a 19-microorganism prognostic signature was constructed via Cox and LASSO regression and validated with Kaplan-Meier survival analysis. | CONCLUSIONS: This study identified intratumoral microbial signatures as independent prognostic biomarkers and validated their reproducibility in an external cohort.","MATERIALS AND METHODS: Using TCGA datasets, a 19-microorganism prognostic signature was constructed via Cox and LASSO regression and validated with Kaplan-Meier survival analysis. | RESULTS: The microbial signature demonstrated strong predictive performance, with higher risk scores significantly associated with reduced overall survival (p < 0.001). | Notably, periodontal pathogens negatively correlated with immune effector activity, and TP53 mutations were more frequent in high-risk cases (82% vs. 67%).","MATERIALS AND METHODS: Using TCGA datasets, a 19-microorganism prognostic signature was constructed via Cox and LASSO regression and validated with Kaplan-Meier survival analysis. | RESULTS: The microbial signature demonstrated strong predictive performance, with higher risk scores significantly associated with reduced overall survival (p < 0.001).",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000613,"Microbiota and metabolite profiles of saliva, oral swab and cancer tissue from patients with oral squamous cell carcinoma (OSCC).",Clinical statistics,,,Automatic candidate; requires manual review,"In this study, we characterized the microbiota from oral cancer tissues, oral swabs and saliva of patients with OSCC using 16S rRNA sequencing. | We found differential profiles and amounts of microbiota in oral cancer tissues compared with adjacent tissues, as well as in oral swabs and saliva from OSCC patients compared with healthy individuals. | Fusobacterium nucleatum and Porphyromonas endodontalis were found increased in cancer tissues and saliva from OSCC patients. | Prevotella melaninogenica was found increased in the saliva and oral swabs from OSCC patients. | Then we analyzed the metabolites from cancer tissues and saliva of OSCC patients by liquid chromatograph-mass spectrometry/mass spectrometry (LC-MS/MS) and gas chromatograph-mass spectrometry (GC-MS). | Differential profiles of metabolites were also observed in the cancer tissues compared with adjacent tissues and in the saliva from OSCC patients compared with healthy individuals. | It showed that denticulaflavonol was significantly increased while D-mannose was significantly decreased in both cancer tissues and saliva of OSCC patients.","Taken together, these results suggested an association between microbiota/metabolites (such as Fusobacterium and mannose) and OSCC, in which the molecular mechanism need further investigated.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000614,Multi-omics analysis reveals the association between intratumoral bacteria and somatic mutational signatures in oral squamous cell carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,"Nonetheless, the precise composition and role of the intratumoral bacteria in OSCC patients remain obscure and the association between the intratumoral bacteria and somatic mutational signatures in OSCC patients has not been defined. | METHODS: Paraffin-embedded tumors and adjacent normal tissues were collected retrospectively from OSCC patients. | A five-region 16S rRNA gene sequencing (5R 16S rRNA-seq) approach (targeting V2, V3, V5, V6, and V8) was employed to characterize the intratumoral bacterial composition of OSCC patients, while whole-exome sequencing (WES) was utilized to identify the somatic mutational signatures of OSCC patients. | Then, the multi-omics data were integrated to uncover the association between intratumoral bacterial composition and somatic mutational signatures in OSCC patients. | And the presence of Dialister pneumosintes within tumor tissues is associated with poorer short-term disease-free survival in OSCC patients. | The integrated analysis of the 5R 16S rRNA-seq and WES data revealed that tumor mutation burden was positively correlated with the α diversity of the intratumoral bacteria in OSCC patients. | CONCLUSION: This study utilized a multi-omics approach to elucidate the characteristics of the intratumoral bacteria and somatic mutational signatures in OSCC patients, revealing the intricate relationships between these elements.","Nonetheless, the precise composition and role of the intratumoral bacteria in OSCC patients remain obscure and the association between the intratumoral bacteria and somatic mutational signatures in OSCC patients has not been defined. | Then, the multi-omics data were integrated to uncover the association between intratumoral bacterial composition and somatic mutational signatures in OSCC patients. | And the presence of Dialister pneumosintes within tumor tissues is associated with poorer short-term disease-free survival in OSCC patients. | The integrated analysis of the 5R 16S rRNA-seq and WES data revealed that tumor mutation burden was positively correlated with the α diversity of the intratumoral bacteria in OSCC patients.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000842,Multi-Omics Integration Reveals the Crucial Role of Fusobacterium in the Inflammatory Immune Microenvironment in Head and Neck Squamous Cell Carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,"Using the Cancer Microbiome Atlas (TCMA), a database of curated, decontaminated microbial profiles for 3,689 oropharyngeal, esophageal, gastrointestinal, and colorectal tissue samples from 1,772 patients, we conducted a comprehensive multi-omics analysis to reveal microbial signatures among various cancers and the potential mechanisms involved in tumor progression of head and neck squamous cell carcinoma (HNSC).","We found that compared with other cancer types, the tumor-resident microbiome of HNSC accounted for the highest bacterial abundance and strongest association with host TME signatures. | Fusobacterium was found to be enriched in HNSC tissues, which was associated with an increased inflammatory effect and inferior prognosis. | Moreover, we revealed that the microbiota-associated inflammatory TME was attributed to the competing endogenouse RNA (ceRNA) network and chromatin accessibility.",Not found in abstract / unknown,Not found in abstract / unknown,The tumor microbiome is believed to have a profound impact on tumor progression owing to its local colonization in the tumor microenvironment (TME).,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000847,Viable bacteria present within oral squamous cell carcinoma tissue.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"Despite increasing interest in the possible relationships between bacteria and the different stages of cancer development, the association of bacteria with cancer of the oral cavity has yet to be adequately examined.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000854,Comparison of oral microbiota in tumor and non-tumor tissues of patients with oral squamous cell carcinoma.,Clinical statistics,,,Automatic candidate; requires manual review,We investigated the association of oral bacteria in oral squamous cell carcinoma (OSCC/tumor) tissues and compared with adjacent non-tumor mucosa sampled 5 cm distant from the same patient (n = 10). | RESULTS: DGGE fingerprints showed variations in the band intensity profiles within non-tumor and tumor tissues of the same patient and among the two groups.,"We investigated the association of oral bacteria in oral squamous cell carcinoma (OSCC/tumor) tissues and compared with adjacent non-tumor mucosa sampled 5 cm distant from the same patient (n = 10). | Bacterial species, Streptococcus sp. oral taxon 058, Peptostreptococcus stomatis, Streptococcus salivarius, Streptococcus gordonii, Gemella haemolysans, Gemella morbillorum, Johnsonella ignava and Streptococcus parasanguinis I were highly associated with tumor site where as Granulicatella adiacens was prevalent at non-tumor site. | These most prevalent or unique bacterial species/phylotypes present in tumor tissues may be associated with OSCC and needs to be further investigated with a larger sample size.",Not found in abstract / unknown,Not found in abstract / unknown,CONCLUSIONS: The underlying changes in the bacterial diversity in the oral mucosal tissues from non-tumor and tumor sites of OSCC subjects indicated a shift in bacterial colonization.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000856,A dysbiotic microbiome promotes head and neck squamous cell carcinoma.,Mechanistic studies,Clinical statistics,,Automatic candidate; requires manual review,We aimed to identify and validate oral microbial signatures in treatment-naïve HNSCC patients compared with healthy control subjects.,"In parallel, we examined the disease-modifying effects of microbiota in HNSCC, through both antibiotic depletion of microbiota in an induced HNSCC mouse model (4-Nitroquinoline 1-oxide, 4NQO) and reconstitution of tumor-associated microbiota in a germ-free orthotopic mouse model.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"In parallel, we examined the disease-modifying effects of microbiota in HNSCC, through both antibiotic depletion of microbiota in an induced HNSCC mouse model (4-Nitroquinoline 1-oxide, 4NQO) and reconstitution of tumor-associated microbiota in a germ-free orthotopic mouse model.","In parallel, we examined the disease-modifying effects of microbiota in HNSCC, through both antibiotic depletion of microbiota in an induced HNSCC mouse model (4-Nitroquinoline 1-oxide, 4NQO) and reconstitution of tumor-associated microbiota in a germ-free orthotopic mouse model. | We demonstrate that depletion of microbiota delays oral tumorigenesis, while microbiota transfer from mice with oral cancer accelerates tumorigenesis. | Enrichment of Lactobacillus spp. was also observed in murine HNSCC, and activation of the aryl-hydrocarbon receptor was documented in both murine and human tumors.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000863,Heat-killed Prevotella intermedia promotes the progression of oral squamous cell carcinoma by inhibiting the expression of tumor suppressors and affecting the tumor microenvironment.,Clinical statistics,,,Automatic candidate; requires manual review,"Our previous study showed that Prevotella intermedia (P. intermedia) were enriched in the oral mucosal surface, plaque, and saliva of patients with OSCC.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"A mouse OSCC cell line SCC7 was adopted to investigate the effects of heat-killed P. intermedia treatment on cell proliferation, invasion, and cytokine release by using CCK-8 assay, transwell invasion assay and ELISA. | Moreover, we established a mouse transplanted tumor model by using SCC7 cells, injected heat-killed P. intermedia into tumor tissues, and investigated the effects of heat-killed P. intermedia on tumor growth, invasion, cytokine levels, immune cell infiltrations, and expression levels by using gross observation, H&E staining, ELISA, immunohistochemistry, mRNA sequencing, and transcriptomic analysis. | Heat-killed P. intermedia promoted SCC7 cell proliferation, invasion and proinflammatory cytokine secretions, accelerated transplanted tumor growth in mice, exacerbate muscle and perineural invasion of OSCC, elevated the serum levels of IL-17A, IL-6, TNF-α, IFN-γ, and PD-L1, induced Treg cells M2 type macrophages in mouse transplanted tumors. | The data of transcriptomic analysis revealed that heat-killed P. intermedia increased the expression levels of inflammatory cytokines and chemokines while reduced the expression levels of some tumor suppressor genes in mouse transplanted tumors.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000886,"16S rRNA based metagenomic analysis unveils unique oral microbial signatures in oral squamous cell carcinoma cases from Coastal Karnataka, India.",Clinical statistics,,,Automatic candidate; requires manual review,"In this study, 16S rRNA based metagenomic analyses of 13 tumorous and contralateral anatomically matched normal tissue biopsies, obtained from patients with advanced stage of OSCC were evaluated to understand the correlation between OSCC and oral microbiome.","The diagnosis of early OSCC is of paramount clinical value given the high mortality rate associated with the late stages of the disease. | In this study, 16S rRNA based metagenomic analyses of 13 tumorous and contralateral anatomically matched normal tissue biopsies, obtained from patients with advanced stage of OSCC were evaluated to understand the correlation between OSCC and oral microbiome. | Further, PICRUSt2 analysis unveiled enhanced expression of metabolic pathways associated with L-lysine fermentation, pyruvate fermentation, and isoleucine biosynthesis in those microbes associated with OSCC tissues. | These findings provide valuable insights into the distinctive microbial signatures associated with OSCC, offering potential biomarkers and metabolic pathways underlying OSCC pathogenesis.",Not found in abstract / unknown,Not found in abstract / unknown,"But, to establish the role of bacteria in oral cancer, it is important to determine the differences in the colonization pattern in non-tumour and tumour tissues.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000920,Porphyromonas gingivalis Promotes Immunoevasion of Oral Cancer by Protecting Cancer from Macrophage Attack.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"We evaluated the effect of P. gingivalis on the phagocytosis of Cal-27 cells (OSCC cell line) by bone marrow-derived macrophages in vitro and studied the effect of P. gingivalis on the growth of OSCC and the polarization of tumor-associated macrophages in vivo. | In addition, sustained infection with antibiotics-inactivated P. gingivalis promoted OSCC growth in mice and induced the polarization of macrophages into M2 tumor-associated macrophages, which mainly display protumor properties.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"We evaluated the effect of P. gingivalis on the phagocytosis of Cal-27 cells (OSCC cell line) by bone marrow-derived macrophages in vitro and studied the effect of P. gingivalis on the growth of OSCC and the polarization of tumor-associated macrophages in vivo. | In addition, sustained infection with antibiotics-inactivated P. gingivalis promoted OSCC growth in mice and induced the polarization of macrophages into M2 tumor-associated macrophages, which mainly display protumor properties. | Our in vitro and in vivo data suggest that P. gingivalis can promote immunoevasion of oral cancer by protecting cancer from macrophage attack.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
